timestamp,torque,ref_torque
2024-06-12 22:29:42.638,0.0,0
2024-06-12 22:29:42.644,0.0,0
2024-06-12 22:29:42.648,-0.08,0
2024-06-12 22:29:42.653,0.08,0
2024-06-12 22:29:42.658,0.0,0
2024-06-12 22:29:42.662,0.0,0
2024-06-12 22:29:42.667,0.08,0
2024-06-12 22:29:42.672,0.0,0
2024-06-12 22:29:42.679,0.0,0
2024-06-12 22:29:42.686,-0.32,0
2024-06-12 22:29:42.691,0.0,0
2024-06-12 22:29:42.697,0.0,0
2024-06-12 22:29:42.703,0.0,0
2024-06-12 22:29:42.709,0.0,0
2024-06-12 22:29:42.714,0.08,0
2024-06-12 22:29:42.720,0.0,0
2024-06-12 22:29:42.728,-0.16,0
2024-06-12 22:29:42.734,0.08,0
2024-06-12 22:29:42.739,0.0,0
2024-06-12 22:29:42.744,0.0,0
2024-06-12 22:29:42.749,-0.16,0
2024-06-12 22:29:42.755,0.08,0
2024-06-12 22:29:42.760,-0.24,0
2024-06-12 22:29:42.767,0.0,0
2024-06-12 22:29:42.772,-0.08,0
2024-06-12 22:29:42.777,0.0,0
2024-06-12 22:29:42.782,0.32,0
2024-06-12 22:29:42.786,-0.08,0
2024-06-12 22:29:42.790,0.08,0
2024-06-12 22:29:42.795,-0.08,0
2024-06-12 22:29:42.800,0.0,0
2024-06-12 22:29:42.804,0.0,0
2024-06-12 22:29:42.808,-0.08,0
2024-06-12 22:29:42.813,0.08,0
2024-06-12 22:29:42.817,-0.08,0
2024-06-12 22:29:42.821,0.0,0
2024-06-12 22:29:42.825,-0.08,0
2024-06-12 22:29:42.830,0.08,0
2024-06-12 22:29:42.834,0.08,0
2024-06-12 22:29:42.838,0.0,0
2024-06-12 22:29:42.842,0.08,0
2024-06-12 22:29:42.846,-0.16,0
2024-06-12 22:29:42.850,-0.08,0
2024-06-12 22:29:42.854,0.24,0
2024-06-12 22:29:42.858,0.0,0
2024-06-12 22:29:42.862,0.0,0
2024-06-12 22:29:42.866,-0.08,0
2024-06-12 22:29:42.870,0.08,0
2024-06-12 22:29:42.874,0.16,0
2024-06-12 22:29:42.878,0.0,0
2024-06-12 22:29:42.881,0.08,0
2024-06-12 22:29:42.884,-0.08,0
2024-06-12 22:29:42.888,0.0,0
2024-06-12 22:29:42.891,0.0,0
2024-06-12 22:29:42.895,0.0,0
2024-06-12 22:29:42.898,0.08,0
2024-06-12 22:29:42.901,0.08,0
2024-06-12 22:29:42.905,0.08,0
2024-06-12 22:29:42.908,0.08,0
2024-06-12 22:29:42.911,-0.24,0
2024-06-12 22:29:42.915,0.0,0
2024-06-12 22:29:42.918,0.16,0
2024-06-12 22:29:42.921,0.08,0
2024-06-12 22:29:42.925,0.0,0
2024-06-12 22:29:42.928,0.0,0
2024-06-12 22:29:42.931,0.0,0
2024-06-12 22:29:42.934,0.0,0
2024-06-12 22:29:42.938,0.08,0
2024-06-12 22:29:42.941,-0.08,0
2024-06-12 22:29:42.945,0.08,0
2024-06-12 22:29:42.948,0.0,0
2024-06-12 22:29:42.951,0.08,0
2024-06-12 22:29:42.955,0.0,0
2024-06-12 22:29:42.958,0.0,0
2024-06-12 22:29:42.961,0.0,0
2024-06-12 22:29:42.964,-0.16,0
2024-06-12 22:29:42.969,0.08,0
2024-06-12 22:29:42.973,0.08,0
2024-06-12 22:29:42.977,0.32,0
2024-06-12 22:29:42.981,0.0,0
2024-06-12 22:29:42.985,-0.08,0
2024-06-12 22:29:42.988,0.08,0
2024-06-12 22:29:42.992,-0.08,0
2024-06-12 22:29:42.996,0.0,0
2024-06-12 22:29:43.000,0.0,0
2024-06-12 22:29:43.003,0.0,0
2024-06-12 22:29:43.007,0.0,0
2024-06-12 22:29:43.011,-0.08,0
2024-06-12 22:29:43.015,0.08,0
2024-06-12 22:29:43.019,0.08,0
2024-06-12 22:29:43.023,0.0,0
2024-06-12 22:29:43.026,0.0,0
2024-06-12 22:29:43.030,0.0,0
2024-06-12 22:29:43.034,0.0,0
2024-06-12 22:29:43.038,0.0,0
2024-06-12 22:29:43.042,0.16,0
2024-06-12 22:29:43.045,-0.24,0
2024-06-12 22:29:43.049,0.0,0
2024-06-12 22:29:43.053,-0.08,0
2024-06-12 22:29:43.057,0.16,0
2024-06-12 22:29:43.061,0.08,0
2024-06-12 22:29:43.064,-0.08,0
2024-06-12 22:29:43.068,0.0,0
2024-06-12 22:29:43.072,0.0,0
2024-06-12 22:29:43.076,-0.08,0
2024-06-12 22:29:43.082,0.0,0
2024-06-12 22:29:43.087,0.0,0
2024-06-12 22:29:43.092,-0.08,0
2024-06-12 22:29:43.096,0.0,0
2024-06-12 22:29:43.100,0.08,0
2024-06-12 22:29:43.104,0.0,0
2024-06-12 22:29:43.108,0.0,0
2024-06-12 22:29:43.112,0.0,0
2024-06-12 22:29:43.115,0.0,0
2024-06-12 22:29:43.119,-0.08,0
2024-06-12 22:29:43.123,0.0,0
2024-06-12 22:29:43.127,-0.08,0
2024-06-12 22:29:43.131,-0.16,0
2024-06-12 22:29:43.134,0.08,0
2024-06-12 22:29:43.138,-0.08,0
2024-06-12 22:29:43.142,0.0,0
2024-06-12 22:29:43.146,0.0,0
2024-06-12 22:29:43.150,0.0,0
2024-06-12 22:29:43.154,0.0,0
2024-06-12 22:29:43.158,0.0,0
2024-06-12 22:29:43.161,-0.08,0
2024-06-12 22:29:43.165,0.0,0
2024-06-12 22:29:43.169,-0.08,0
2024-06-12 22:29:43.173,0.16,0
2024-06-12 22:29:43.177,0.0,0
2024-06-12 22:29:43.181,0.0,0
2024-06-12 22:29:43.184,0.0,0
2024-06-12 22:29:43.188,0.0,0
2024-06-12 22:29:43.192,-0.08,0
2024-06-12 22:29:43.196,0.0,0
2024-06-12 22:29:43.200,0.0,0
2024-06-12 22:29:43.203,0.08,0
2024-06-12 22:29:43.207,-0.08,0
2024-06-12 22:29:43.211,0.0,0
2024-06-12 22:29:43.215,0.0,0
2024-06-12 22:29:43.220,0.0,0
2024-06-12 22:29:43.225,0.0,0
2024-06-12 22:29:43.230,0.0,0
2024-06-12 22:29:43.234,0.08,0
2024-06-12 22:29:43.238,0.08,0
2024-06-12 22:29:43.242,0.0,0
2024-06-12 22:29:43.246,-0.16,0
2024-06-12 22:29:43.250,0.0,0
2024-06-12 22:29:43.254,0.0,0
